FECHA_OPERACION,VENTA,VENTA_FORE,FORE_LOWER,FORE_UPPER
2024-03-10,294556.5,294556.5,294556.5,294556.5
2024-03-11,390041.66,390041.65625,390041.65625,390041.65625
2024-03-12,354645.34,354645.34375,354645.34375,354645.34375
2024-03-13,439946.03,439946.03125,439946.03125,439946.03125
2024-03-14,495692.94,495692.9375,495692.9375,495692.9375
2024-03-15,495496.7,495496.6875,495496.6875,495496.6875
2024-03-16,285575.8,285575.8125,285575.8125,285575.8125
2024-03-17,412549.8,412549.8125,412549.8125,412549.8125
2024-03-18,484140.1,484140.09375,484140.09375,484140.09375
2024-03-19,475693.3,475693.3125,475693.3125,475693.3125
2024-03-20,428049.3,428049.3125,428049.3125,428049.3125
2024-03-21,492537.97,492537.96875,492537.96875,492537.96875
2024-03-22,460361.5,460361.5,460361.5,460361.5
2024-03-23,287639.8,287639.8125,287639.8125,287639.8125
2024-03-24,359751.0,359751.0,359751.0,359751.0
2024-03-25,432681.25,432681.25,432681.25,432681.25
2024-03-26,534482.6,534482.625,534482.625,534482.625
2024-03-27,510232.47,510232.46875,510232.46875,510232.46875
2024-03-28,344275.53,344275.53125,344275.53125,344275.53125
2024-03-29,381924.25,381924.25,381924.25,381924.25
2024-03-30,535166.1,535166.125,535166.125,535166.125
2024-03-31,330503.56,330503.5625,330503.5625,330503.5625
2024-04-01,432983.3,432983.3125,432983.3125,432983.3125
2024-04-02,390018.03,390018.03125,390018.03125,390018.03125
2024-04-03,354947.47,354947.46875,354947.46875,354947.46875
2024-04-04,338729.62,338729.625,338729.625,338729.625
2024-04-05,309199.0,309199.0,309199.0,309199.0
2024-04-06,290546.3,290546.3125,290546.3125,290546.3125
2024-04-07,334887.8,334887.8125,334887.8125,334887.8125
2024-04-08,255110.33,255110.328125,255110.328125,255110.328125
2024-04-09,262988.0,262988.0,262988.0,262988.0
2024-04-10,251075.2,251075.203125,251075.203125,251075.203125
2024-04-11,253690.97,253690.96875,253690.96875,253690.96875
2024-04-12,289483.5,289483.5,289483.5,289483.5
2024-04-13,185628.38,185628.375,185628.375,185628.375
